X,M,F
0,1376,1108
1,234,194
5,157,104
10,229,197
15,803,357
20,1428,509
25,2099,726
30,2595,913
35,3400,1334
40,4187,1902
45,5977,3112
50,7053,4002
55,8550,5559
60,9255,6551
65,9418,6829
70,8705,6822
75,7842,6435
80,6545,6258
85,8064,10884
