X,M,F
0,1759,1391
1,333,245
5,162,135
10,243,168
15,731,343
20,1263,426
25,1614,527
30,1619,558
35,1875,717
40,2182,1005
45,2815,1645
50,3360,2115
55,4047,2856
60,4412,3416
65,4470,3723
70,4573,3898
75,4349,4166
80,3999,4347
85,5477,8379
